node,node,weight
群贤堂,思群堂,7
图书馆逸夫楼,思群堂,8
地理馆,图书馆逸夫楼,3
物理楼,群贤堂,6
化学实验楼,群贤堂,6
生物实验楼,群贤堂,4
行政楼,思群堂,3
教育学部楼,思群堂,2
信息楼,行政楼,7
计算机中心,行政楼,6
商学院楼,行政楼,1
心理与认知科学学院楼,教育学部楼,10
法学院楼,计算机中心,6
音乐学院楼,信息楼,10
美术学院楼,生物实验楼,8
马克思主义学院楼,信息楼,5
河口海岸大楼,心理与认知科学学院楼,2
国际教育中心,群贤堂,9
档案馆,信息楼,6
校史馆,档案馆,9
丽娃河,教育学部楼,5
丽虹桥,丽娃河,6
共青场,图书馆逸夫楼,3
体育健康楼,行政楼,1
足球场,美术学院楼,3
篮球场,美术学院楼,5
排球场,图书馆逸夫楼,2
百花园餐厅,河口海岸大楼,4
银之春西餐厅,教育学部楼,3
申云轩餐厅,马克思主义学院楼,3
河西食堂,排球场,3
河东食堂,篮球场,8
丽娃食堂,银之春西餐厅,3
华闵餐厅,银之春西餐厅,6
秋实阁,百花园餐厅,9
秋林阁,丽虹桥,3
校医院,河口海岸大楼,6
学生活动中心,化学实验楼,4
学术交流中心,马克思主义学院楼,4
第一教学楼,秋林阁,1
第二教学楼,学术交流中心,8
第三教学楼,心理与认知科学学院楼,5
第四教学楼,图书馆逸夫楼,2
实验A楼,河东食堂,9
实验B楼,足球场,2
实验教学中心,马克思主义学院楼,2
物理信息楼,体育健康楼,4
法商楼,河东食堂,3
闵行图书馆,篮球场,9
人文学院楼,百花园餐厅,2
统计学院楼,河东食堂,2
生命科学学院楼,足球场,7
数统楼,生命科学学院楼,4
外语学院楼,物理信息楼,2
田径场,第一教学楼,7
游泳馆,音乐学院楼,2
崇真书院,秋实阁,10
桃李园广场,篮球场,5
青年教师公寓,丽娃河,4
本科生公寓1号楼,河西食堂,8
本科生公寓2号楼,商学院楼,1
本科生公寓3号楼,地理馆,6
本科生公寓4号楼,体育健康楼,7
本科生公寓5号楼,化学实验楼,6
本科生公寓6号楼,学生活动中心,3
研究生公寓1号楼,第二教学楼,3
研究生公寓2号楼,校史馆,9
研究生公寓3号楼,统计学院楼,1
研究生公寓4号楼,生命科学学院楼,10
SPF实验动物中心,青年教师公寓,2
信息化办公室,研究生公寓2号楼,3
后勤保障部,法学院楼,2
基建处,河口海岸大楼,10
科技处,研究生公寓3号楼,5
审计处,体育健康楼,7
资产管理处,地理馆,10
人事处,化学实验楼,6
学校办公室,第三教学楼,2
团委,教育学部楼,7
学生资助管理中心,青年教师公寓,3
心理健康教育与咨询中心,丽虹桥,8
校园警卫室,思群堂,10
莲花路警卫室,本科生公寓2号楼,1
虹梅路警卫室,排球场,1
立体停车库,人文学院楼,2
闵行校区大门,虹梅路警卫室,9
中北校区大门,法学院楼,1
丽娃湖,生物实验楼,9
柳长桥,体育健康楼,1
梅陇井,本科生公寓3号楼,4
紫竹广场,资产管理处,10
心中书社,本科生公寓6号楼,10
翔华书店,闵行图书馆,5
河西浴室,本科生公寓4号楼,2
河东浴室,本科生公寓4号楼,5
丽娃浴室,群贤堂,7
西操场,心理健康教育与咨询中心,9
东操场,本科生公寓5号楼,3
综合体育馆,共青场,3
理科大楼_1,河西浴室,7
理科大楼_2,紫竹广场,10
理科大楼_3,校医院,5
理科大楼_4,田径场,5
理科大楼_5,法商楼,4
理科大楼_6,本科生公寓2号楼,4
理科大楼_7,学生资助管理中心,7
理科大楼_8,化学实验楼,9
理科大楼_9,学生资助管理中心,2
理科大楼_10,人文学院楼,7
理科大楼_11,生物实验楼,1
理科大楼_12,第四教学楼,8
理科大楼_13,河口海岸大楼,6
理科大楼_14,理科大楼_5,2
理科大楼_15,河东食堂,7
理科大楼_16,SPF实验动物中心,8
理科大楼_17,共青场,2
理科大楼_18,法商楼,3
理科大楼_19,音乐学院楼,5
理科大楼_20,实验B楼,5
理科大楼_21,第四教学楼,5
理科大楼_22,本科生公寓1号楼,2
理科大楼_23,理科大楼_14,6
理科大楼_24,审计处,8
理科大楼_25,研究生公寓4号楼,4
理科大楼_26,本科生公寓4号楼,9
理科大楼_27,学生资助管理中心,1
理科大楼_28,法学院楼,8
理科大楼_29,商学院楼,3
理科大楼_30,中北校区大门,9
理科大楼_31,紫竹广场,2
理科大楼_32,闵行校区大门,3
理科大楼_33,校园警卫室,6
理科大楼_34,秋林阁,7
理科大楼_35,本科生公寓6号楼,6
理科大楼_36,理科大楼_20,4
理科大楼_37,理科大楼_30,10
理科大楼_38,理科大楼_28,6
理科大楼_39,虹梅路警卫室,9
理科大楼_40,理科大楼_39,1
理科大楼_41,丽娃河,6
理科大楼_42,本科生公寓6号楼,5
理科大楼_43,理科大楼_34,7
理科大楼_44,理科大楼_30,5
理科大楼_45,生命科学学院楼,7
理科大楼_46,华闵餐厅,2
理科大楼_47,学生活动中心,9
理科大楼_48,理科大楼_45,9
理科大楼_49,理科大楼_30,3
理科大楼_50,理科大楼_39,1
理科大楼_51,东操场,4
理科大楼_52,学校办公室,1
理科大楼_53,音乐学院楼,3
理科大楼_54,研究生公寓1号楼,2
理科大楼_55,理科大楼_11,3
理科大楼_56,理科大楼_39,2
