name,type,weight
思群堂,1,36
群贤堂,1,46
图书馆逸夫楼,5,36
地理馆,5,31
物理楼,1,31
化学实验楼,1,27
生物实验楼,1,16
行政楼,1,47
教育学部楼,1,35
信息楼,1,16
计算机中心,6,22
商学院楼,1,36
心理与认知科学学院楼,1,33
法学院楼,1,49
音乐学院楼,1,7
美术学院楼,1,10
马克思主义学院楼,1,22
河口海岸大楼,4,17
国际教育中心,6,36
档案馆,5,26
校史馆,5,43
丽娃河,4,17
丽虹桥,4,47
共青场,5,18
体育健康楼,5,37
足球场,5,36
篮球场,5,32
排球场,5,5
百花园餐厅,6,27
银之春西餐厅,6,7
申云轩餐厅,6,29
河西食堂,2,30
河东食堂,2,47
丽娃食堂,2,42
华闵餐厅,6,16
秋实阁,6,6
秋林阁,6,19
校医院,6,34
学生活动中心,6,22
学术交流中心,6,37
第一教学楼,1,25
第二教学楼,1,13
第三教学楼,1,20
第四教学楼,1,25
实验A楼,1,20
实验B楼,1,31
实验教学中心,6,25
物理信息楼,1,8
法商楼,1,7
闵行图书馆,5,23
人文学院楼,1,50
统计学院楼,1,8
生命科学学院楼,1,45
数统楼,1,26
外语学院楼,1,36
田径场,5,41
游泳馆,5,15
崇真书院,6,40
桃李园广场,4,37
青年教师公寓,3,9
本科生公寓1号楼,3,40
本科生公寓2号楼,3,32
本科生公寓3号楼,3,23
本科生公寓4号楼,3,36
本科生公寓5号楼,3,23
本科生公寓6号楼,3,6
研究生公寓1号楼,3,48
研究生公寓2号楼,3,35
研究生公寓3号楼,3,24
研究生公寓4号楼,3,36
SPF实验动物中心,6,24
信息化办公室,6,39
后勤保障部,6,43
基建处,6,47
科技处,6,39
审计处,6,20
资产管理处,6,31
人事处,6,38
学校办公室,6,32
团委,6,40
学生资助管理中心,6,29
心理健康教育与咨询中心,6,26
校园警卫室,6,34
莲花路警卫室,6,40
虹梅路警卫室,6,36
立体停车库,6,7
闵行校区大门,6,42
中北校区大门,6,20
丽娃湖,4,46
柳长桥,4,25
梅陇井,6,18
紫竹广场,4,33
心中书社,6,41
翔华书店,6,22
河西浴室,4,10
河东浴室,4,13
丽娃浴室,6,29
西操场,5,12
东操场,5,39
综合体育馆,5,37
理科大楼_1,1,42
理科大楼_2,1,20
理科大楼_3,1,22
理科大楼_4,1,17
理科大楼_5,1,28
理科大楼_6,1,13
理科大楼_7,1,30
理科大楼_8,1,40
理科大楼_9,1,24
